[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
RAP,Abgenzungsposten,Abgenzungsposten,,,,Yes,,,,,,,,,,,,
BV,Bestandsveränderungen,Bestandsveränderungen,,,,Yes,,,,,,,,,,,,
AEL,Andere aktivierte Eigenleistungen,Andere aktivierte Eigenleistungen,,,,Yes,,,,,,,,,,,,
VSK,Verrechnete Stoffkosten,Verrechnete Stoffkosten,,,,Yes,,,,,,,,,,,,
BA,Bilanz - Aktiva ,Bilanz - Aktiva ,Asset,,,Yes,,,BA,Bilanz - Aktiva ,,,,,,,,
BP,Bilanz - Passiva ,Bilanz - Passiva ,Liability,,,Yes,,,BP,Bilanz - Passiva ,,,,,,,,
GVA,Gewinn u. Verlust - Aufwendungen ,Gewinn u. Verlust - Aufwendungen ,Expense,,,Yes,,,,,,,GVA,Gewinn u. Verlust - Aufwendungen ,,,,
GVE,Gewinn u. Verlust - Erträge,Gewinn u. Verlust - Erträge,Revenue,,,Yes,,,,,,,GVE,Gewinn u. Verlust - Erträge,,,,
K0BA,Anlage- und Kapitalkonten,Anlage- und Kapitalkonten,Asset,,,Yes,,BA,K0BA,Anlage- und Kapitalkonten,,,,,,,,
K1BA,Finanz- und Privatkonten,Finanz- und Privatkonten,Asset,,,Yes,,BA,K1BA,Finanz- und Privatkonten,,,,,,,,
K3BA,Wareneingangs- und Bestandskonten,Wareneingangs- und Bestandskonten,Asset,,,Yes,,BA,K3BA,Wareneingangs- und Bestandskonten,,,,,,,,
K7BA,Bestände an Erzeugnissen,Bestände an Erzeugnissen,Asset,,,Yes,,BA,K7BA,Bestände an Erzeugnissen,,,,,,,,
K0BP,Anlage- und Kapitalkonten,Anlage- und Kapitalkonten,Liability,,,Yes,,BP,K0BP,Anlage- und Kapitalkonten,,,,,,,,
K1BP,Finanz- und Privatkonten,Finanz- und Privatkonten,Liability,,,Yes,,BP,K1BP,Finanz- und Privatkonten,,,,,,,,
K2GVA,Abgrenzungskonten,Abgrenzungskonten,Expense,,,Yes,,GVA,,,,,K2GVA,Abgrenzungskonten,,,,
K3GVA,Wareneingangs- und Bestandskonten,Wareneingangs- und Bestandskonten,Expense,,,Yes,,GVA,,,,,K3GVA,Wareneingangs- und Bestandskonten,,,,
K4GVA,Betriebliche Aufwendungen,Betriebliche Aufwendungen,Expense,,,Yes,,GVA,,,,,K4GVA,Betriebliche Aufwendungen,,,,
K8GVA,Erlöskonten,Erlöskonten,Expense,,,Yes,,GVA,,,,,K8GVA,Erlöskonten,,,,
K2GVE,Abgrenzungskonten,Abgrenzungskonten,Revenue,,,Yes,,GVE,,,,,K2GVE,Abgrenzungskonten,,,,
K3GVE,Wareneingangs- und Bestandskonten,Wareneingangs- und Bestandskonten,Revenue,,,Yes,,GVE,,,,,K3GVE,Wareneingangs- und Bestandskonten,,,,
K8GVE,Erlöskonten,Erlöskonten,Revenue,,,Yes,,GVE,,,,,K8GVE,Erlöskonten,,,,
K0BA01,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Asset,,,Yes,,K0BA,,,,,,,,,,
0001,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Asset,,,No,,K0BA01,,,,,,,,,,
K0BA02,Aufwendungen für die Währungsumstellung auf den Euro,Aufwendungen für die Währungsumstellung auf den Euro,Asset,,,Yes,,K0BA,,,,,,,,,,
0002,Aufwendungen für die Währungsumstellung auf den Euro,Aufwendungen für die Währungsumstellung auf den Euro,Asset,,,No,,K0BA02,,,,,,,,,,
K0BA1,Immaterielle Vermögensgegenstände,Immaterielle Vermögensgegenstände,Asset,,,Yes,,K0BA,,,,,,,,,,
K0BA11,Konzessionen gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Konzessionen gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Asset,,,Yes,,K0BA1,,,,,,,,,,
0010,Konzessionen gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Konzessionen gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Asset,,,No,,K0BA11,,,,,,,,,,
0015,Konzessionen,Konzessionen,Asset,,,No,,0010,,,,,,,,,,
0020,Gewerbliche Schutzrechte,Gewerbliche Schutzrechte,Asset,,,No,,0010,,,,,,,,,,
0025,ähnliche Rechte und Werte,ähnliche Rechte und Werte,Asset,,,No,,0010,,,,,,,,,,
0027,EDV-Software,EDV-Software,Asset,,,No,,0010,,,,,,,,,,
0030,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten ,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten ,Asset,,,No,,0010,,,,,,,,,,
K0BA12,Geschäfts- oder Firmenwert,Geschäfts- oder Firmenwert,Asset,,,Yes,,K0BA1,,,,,,,,,,
0035,Geschäfts- oder Firmenwert,Geschäfts- oder Firmenwert,Asset,,,No,,K0BA12,,,,,,,,,,
K0BA13,Geleistete Anzahlungen ,Geleistete Anzahlungen ,Asset,,,Yes,,K0BA1,,,,,,,,,,
0038,Anzahlungen auf Geschäfts- oder Firmenwert,Anzahlungen auf Geschäfts- oder Firmenwert,Asset,,,No,,K0BA13,,,,,,,,,,
0039,Anzahlungen auf immaterielle Vermögensgegenstände,Anzahlungen auf immaterielle Vermögensgegenstände,Asset,,,No,,K0BA13,,,,,,,,,,
K0BA14,Verschmelzungsmehrwert,Verschmelzungsmehrwert,Asset,,,Yes,,K0BA1,,,,,,,,,,
0040,Verschmelzungsmehrwert,Verschmelzungsmehrwert,Asset,,,No,,K0BA14,,,,,,,,,,
K0BA2,Sachanlagen,Sachanlagen,Asset,,,Yes,,K0BA,,,,,,,,,,
K0BA21,Grundstücke grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Grundstücke grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Asset,,,Yes,,K0BA2,,,,,,,,,,
0050,Grundstücke grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Grundstücke grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Asset,,,No,,K0BA21,,,,,,,,,,
0059,Grundstücksanteil des häuslichen Arbeitszimmers.,Grundstücksanteil des häuslichen Arbeitszimmers.,Asset,,,No,,0050,,,,,,,,,,
0060,Grundstücke und grundstücksgleiche Rechte ohne Bauten,Grundstücke und grundstücksgleiche Rechte ohne Bauten,Asset,,,Yes,,K0BA21,,,,,,,,,,
0065,Unbebaute Grundstücke,Unbebaute Grundstücke,Asset,,,No,,0060,,,,,,,,,,
0070,Grundstücksgleiche Rechte - (erbbaurecht Daürwohnrecht),Grundstücksgleiche Rechte - (erbbaurecht Daürwohnrecht),Asset,,,No,,0060,,,,,,,,,,
0075,Grundstücke mit Substanzverzehr,Grundstücke mit Substanzverzehr,Asset,,,No,,0060,,,,,,,,,,
K0BA22,Geleistete Anzahlungen und Anlagen im Bau,Geleistete Anzahlungen und Anlagen im Bau,Asset,,,Yes,,K0BA2,,,,,,,,,,
0079,Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten,Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten,Asset,,,No,,K0BA22,,,,,,,,,,
0080,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten ,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten ,Asset,,,Yes,,K0BA21,,,,,,,,,,
0085,Grundstückswerte eigener bebauter Grundstücke,Grundstückswerte eigener bebauter Grundstücke,Asset,,,No,,0080,,,,,,,,,,
0090,Geschäftsbauten,Geschäftsbauten,Asset,,,No,,0080,,,,,,,,,,
0100,Fabrikbauten,Fabrikbauten,Asset,,,No,,0080,,,,,,,,,,
0110,Garagen,Garagen,Asset,,,No,,0080,,,,,,,,,,
0111,Außenanlagen ,Außenanlagen ,Asset,,,No,,0080,,,,,,,,,,
0112,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,0080,,,,,,,,,,
0113,Einrichtung Fabrik- und Geschäftsbauten,Einrichtung Fabrik- und Geschäftsbauten,Asset,,,No,,0080,,,,,,,,,,
0115,Andere Bauten,Andere Bauten,Asset,,,No,,0080,,,,,,,,,,
0120,Geschäfts- Fabrik- und andere Bauten im Bau,Geschäfts- Fabrik- und andere Bauten im Bau,Asset,,,No,,K0BA22,,,,,,,,,,
0129,Anzahlungen auf Geshäfts- Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Anzahlungen auf Geshäfts- Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Asset,,,No,,K0BA22,,,,,,,,,,
0140,Wohnbauten,Wohnbauten,Asset,,,No,,K0BA21,,,,,,,,,,
0145,Garagen,Garagen,Asset,,,No,,K0BA21,,,,,,,,,,
0146,Aussenanlagen,Aussenanlagen,Asset,,,No,,K0BA21,,,,,,,,,,
0147,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,K0BA21,,,,,,,,,,
0148,Einrichtungen für Wohnbauten,Einrichtungen für Wohnbauten,Asset,,,No,,K0BA21,,,,,,,,,,
0149,Gebäudeteil des häuslichen Arbeitszimmers,Gebäudeteil des häuslichen Arbeitszimmers,Asset,,,No,,K0BA21,,,,,,,,,,
0150,Wohnbauten im Bau,Wohnbauten im Bau,Asset,,,No,,K0BA22,,,,,,,,,,
0159,Anzahlgen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Anzahlgen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Asset,,,No,,K0BA22,,,,,,,,,,
0160,Bauten auf fremden Grundstücken,Bauten auf fremden Grundstücken,Asset,,,Yes,,K0BA21,,,,,,,,,,
0165,Geschäftsbauten,Geschäftsbauten,Asset,,,No,,0160,,,,,,,,,,
0170,Fabrikbauten,Fabrikbauten,Asset,,,No,,0160,,,,,,,,,,
