Special,Y,Y,USD,03182009,Azalea Bush,27.5,26.13,24.75
Special,Y,Y,USD,03182009,Doc,11,11,11
Special,Y,Y,USD,03182009,Elm,66,62.7,59.4
Special,Y,Y,USD,03182009,Fertilizer#50,22,22,19.8
Special,Y,Y,USD,03182009,Fertilizer#70,38.5,36.3,33
Special,Y,Y,USD,03182009,Grass,88,83.6,79.2
Special,Y,Y,USD,03182009,Hoe,16.5,14.85,13.2
Special,Y,Y,USD,03182009,Holly Bush,44,41.8,39.6
Special,Y,Y,USD,03182009,Mary,110,99,88
Special,Y,Y,USD,03182009,Mulch,3.3,3.3,2.97
Special,Y,Y,USD,03182009,Oak,71.5,67.93,64.35
Special,Y,Y,USD,03182009,PatioSet,572,550,545.6
Special,Y,Y,USD,03182009,PChair,36.3,37.13,29.7
Special,Y,Y,USD,03182009,Planting,49.5,47.03,44.55
Special,Y,Y,USD,03182009,Plum Tree,55,52.25,49.5
Special,Y,Y,USD,03182009,PTable,72.6,74.25,59.4
Special,Y,Y,USD,03182009,Rake-Bamboo,9.9,8.91,7.92
Special,Y,Y,USD,03182009,Rake-Metal,13.2,11.88,10.56
Special,Y,Y,USD,03182009,Rose Bush,33,31.35,29.7
Special,Y,Y,USD,03182009,Screen,24.2,24.75,19.8
Special,Y,Y,USD,03182009,Seeder,33,29.7,26.4
Special,Y,Y,USD,03182009,Tiller,38.5,34.65,30.8
Special,Y,Y,USD,03182009,Transplanter,3.85,3.47,3.08
Special,Y,Y,USD,03182009,Travel,55,55,55
Special,Y,Y,USD,03182009,TShirt-GL,16.5,16.5,16.5
Special,Y,Y,USD,03182009,TShirt-RL,16.5,16.5,16.5
Special,Y,Y,USD,03182009,Weeder,3.3,2.97,2.64
